p1, p2, p3, s 
a,a,b,b
a,b,a,a
b,a,a,b
a,a,b,a
a,b,b,a
b,b,a,b
b,a,b,b
a,b,a,b
b,a,a,a
a,a,a,b
a,a,a,b
a,a,a,b
a,a,b,b
a,b,b,a
b,b,a,b
b,a,b,a
a,b,a,b
b,a,b,a
a,b,a,a
b,a,a,a
a,a,a,b
a,a,a,a
a,a,b,b
a,b,b,b
b,b,a,a
b,a,b,a
a,b,a,b
b,a,b,b
a,b,a,b
b,a,a,b
a,a,a,b
a,a,a,a
a,a,a,a
a,a,a,a
a,a,b,b
a,b,b,a
b,b,a,a
b,a,b,a
a,b,a,b
b,a,b,a
a,b,b,a
b,b,b,b
b,b,a,a
b,a,a,a
a,a,b,b
a,b,a,b
b,a,a,b
a,a,b,a
a,b,a,a
b,a,b,b
a,b,b,b
b,b,a,a
b,a,b,b
a,b,b,b
b,b,b,b
b,b,a,a
b,a,b,b
a,b,a,b
b,a,b,a
a,b,a,b
b,a,a,a
a,a,b,b
a,b,b,b
b,b,a,a
b,a,b,a
a,b,b,a
b,b,a,a
b,a,a,b
a,a,a,b
a,a,a,a
a,a,a,b
a,a,a,b
a,a,a,a
a,a,b,a
a,b,a,b
b,a,b,a
a,b,a,b
b,a,a,a
a,a,b,a
a,b,a,a
b,a,b,a
a,b,a,b
b,a,a,a
a,a,b,a
a,b,a,b
b,a,a,a
a,a,a,b
a,a,a,a
a,a,a,b
a,a,a,b
a,a,a,b
a,a,a,b
a,a,a,b
a,a,a,b
a,a,b,b
a,b,a,b
b,a,a,a
a,a,a,a
a,a,a,b
a,a,a,a
a,b,a,b
b,a,b,a
a,b,a,a
b,a,a,b
a,a,b,b
a,b,b,a
b,b,b,a
b,b,a,a
b,a,b,a
a,b,b,a
b,b,b,a
b,b,b,b
b,b,a,a
b,a,b,a
a,b,a,b
b,a,b,a
a,b,a,b
b,a,a,a
a,a,a,b
a,a,b,b
a,b,a,b
b,a,b,a
a,b,b,b
b,b,a,b
b,a,a,b
a,a,b,b
a,b,b,a
b,b,b,b
b,b,b,b
b,b,b,a
b,b,a,b
b,a,a,a
a,a,a,a
a,a,b,b
a,b,a,a
b,a,a,a
a,a,a,b
a,a,b,a
a,b,a,a
b,a,a,a
a,a,b,b
a,b,a,b
b,a,a,a
a,a,b,b
a,b,b,a
b,b,b,b
b,b,a,b
b,a,a,a
a,a,b,b
a,b,b,a
b,b,a,a
b,a,b,a
a,b,b,a
b,b,b,b
b,b,a,b
b,a,b,b
a,b,b,a
b,b,a,a
b,a,b,a
a,b,a,b
b,a,b,a
a,b,b,a
b,b,a,a
b,a,a,a
a,a,a,b
a,a,a,a
a,a,b,a
a,b,b,a
b,b,a,a
b,a,b,a
a,b,b,b
b,b,a,b
b,a,a,a
a,a,b,b
a,b,a,a
b,a,b,a
a,b,a,b
b,a,a,b
a,a,a,b
a,a,a,a
a,a,b,b
a,b,a,b
b,a,a,b
a,a,b,b
a,b,a,b
b,a,b,a
a,b,a,b
b,a,b,a
a,b,b,a
b,b,b,a
b,b,b,a
b,b,b,b
b,b,b,b
b,b,b,b
b,b,b,b
b,b,a,b
b,a,a,a
a,a,b,b
a,b,a,b
b,a,b,a
a,b,a,a
b,a,a,a
a,a,b,b
a,b,b,a
b,b,a,a
b,a,a,a
a,a,a,a
a,a,a,b
a,a,a,b
a,a,a,a
a,a,b,b
a,b,a,b
b,a,a,a
a,a,b,b
a,b,a,b
b,a,b,a
a,b,a,b
b,a,b,a
a,b,b,b
b,b,b,b
b,b,a,a
b,a,b,a
a,b,b,a
b,b,b,b
b,b,b,a
b,b,a,a
b,a,b,b
a,b,b,a
b,b,a,a
b,a,b,a
a,b,a,a
b,a,a,a
a,a,b,b
a,b,a,b
b,a,a,a
a,a,b,b
a,b,a,b
b,a,a,a
a,a,a,b
a,a,b,b
a,b,b,a
b,b,a,a
b,a,b,a
a,b,a,b
b,a,b,a
a,b,b,b
b,b,a,b
b,a,b,a
a,b,a,b
b,a,a,b
a,a,a,b
a,a,a,b
a,a,b,b
a,b,b,a
b,b,b,a
b,b,a,b
b,a,a,a
a,a,a,b
a,a,b,a
a,b,a,a
b,a,a,a
a,a,a,b
a,a,a,b
a,a,b,b
a,b,a,b
b,a,a,a
a,a,a,a
a,a,a,b
a,a,a,b
a,a,b,b
a,b,b,b
b,b,a,a
b,a,b,b
a,b,a,b
b,a,a,a
a,a,b,b
a,b,b,a
b,b,b,b
b,b,a,a
b,a,b,a
a,b,b,a
b,b,b,b
b,b,b,a
b,b,b,b
b,b,a,b
b,a,b,a
a,b,a,b
b,a,a,a
a,a,a,b
a,a,a,b
a,a,b,b
a,b,b,a
b,b,b,a
b,b,b,b
b,b,b,b
b,b,a,a
b,a,b,a
a,b,b,a
b,b,a,a
b,a,b,a
a,a,a,b
a,a,b,b
a,b,a,b
b,a,a,a
a,a,a,b
a,a,a,b
a,a,b,b
a,b,b,a
b,b,a,a
b,a,b,a
a,b,b,a
b,b,a,a
b,a,b,a
a,b,b,a
b,b,a,b
b,a,b,b
a,b,a,b
b,a,b,a
a,b,b,a
b,b,a,a
b,a,a,a
a,a,a,a
a,a,b,a
a,b,a,b
b,a,a,b
a,a,b,b
a,b,a,b
b,a,a,a
a,a,a,b
a,a,a,b
a,a,a,b
a,a,b,a
a,b,b,a
b,b,a,b
b,a,b,a
a,b,b,a
b,b,a,a
b,a,b,a
a,b,b,a
b,b,a,a
b,a,a,b
a,a,a,b
a,a,b,b
a,b,a,b
b,a,b,a
a,b,b,a
b,b,a,a
b,a,b,b
a,b,b,b
b,b,b,b
b,b,b,b
b,b,b,b
b,b,a,a
b,a,a,b
a,a,b,b
a,b,a,b
b,a,b,a
a,b,a,b
b,a,a,a
a,a,a,b
a,a,b,b
a,b,b,a
b,b,b,b
b,b,b,b
b,b,a,a
b,a,a,b
a,a,b,a
a,b,b,b
b,b,b,b
b,b,b,b
b,b,a,a
b,a,b,a
a,b,b,a
b,b,a,a
b,a,b,a
a,b,a,b
b,a,b,b
a,b,a,b
b,a,a,b
a,a,a,b
a,a,b,b
a,b,a,b
b,a,b,a
a,b,b,a
b,b,a,a
b,a,b,b
a,b,a,b
b,a,b,a
a,b,b,a
b,b,b,b
b,b,a,a
b,a,a,b
a,a,b,b
a,b,b,a
b,b,a,a
b,a,a,a
a,a,a,b
a,a,a,b
a,a,a,b
a,a,a,a
a,b,b,a
b,b,b,b
b,b,a,b
b,a,b,b
a,b,b,b
b,b,b,b
b,b,a,a
b,a,a,a
a,a,a,a
a,a,a,b
a,a,a,a
a,a,a,b
a,a,a,b
a,a,b,a
a,b,b,a
b,b,b,b
b,b,a,a
b,a,a,a
a,a,a,b
a,a,a,b
a,a,a,b
a,a,a,b
a,a,b,b
a,b,b,a
b,b,b,b
b,b,b,b
b,b,a,a
b,a,b,a
a,b,b,b
b,b,b,b
b,b,a,a
b,a,a,a
a,a,b,b
a,b,a,b
b,a,a,b
a,a,a,b
a,a,a,b
a,a,a,b
a,a,a,b
a,a,b,a
a,b,b,a
b,b,b,b
b,b,b,b
b,b,a,a
b,a,a,a
a,a,a,b
a,a,b,b
a,b,b,b
b,b,b,b
b,b,b,b
b,b,b,b
b,b,a,a
b,a,b,a
a,b,b,b
b,b,b,a
b,b,a,a
b,a,b,a
a,b,a,b
b,a,b,b
a,b,b,a
b,b,a,a
b,a,b,a
a,b,b,a
b,b,a,b
b,a,b,a
a,b,a,a
b,a,b,b
a,b,b,a
b,b,b,b
b,b,a,a
b,a,a,b
a,a,a,b
a,a,a,a
a,a,a,b
a,a,b,b
a,b,b,a
b,b,b,b
b,b,b,b
b,b,b,b
b,b,b,b
b,b,b,a
b,b,a,a
b,a,a,a
a,a,a,b
a,a,b,a
a,b,b,b
b,b,a,b
b,a,a,a
a,a,b,a
a,b,a,b
b,a,b,a
a,b,b,a
b,b,a,a
b,a,a,a
a,a,a,a
a,a,b,a
a,b,b,a
b,b,b,b
b,b,a,b
b,a,b,a
a,a,b,b
a,b,b,b
b,b,b,b
b,b,b,a
b,b,b,b
b,b,a,a
b,a,a,a
a,a,a,a
a,a,b,b
a,b,a,a
b,a,b,a
a,b,b,b
b,b,a,b
b,a,a,a
